Iter:0, Test Acc:0.9625,Train Acc:0.965473
Iter:1, Test Acc:0.9676,Train Acc:0.973982
Iter:2, Test Acc:0.9704,Train Acc:0.981618
Iter:3, Test Acc:0.9745,Train Acc:0.986818
Iter:4, Test Acc:0.9766,Train Acc:0.989491
Iter:5, Test Acc:0.9768,Train Acc:0.991382
Iter:6, Test Acc:0.9772,Train Acc:0.9922
Iter:7, Test Acc:0.9766,Train Acc:0.990727
Iter:8, Test Acc:0.9782,Train Acc:0.992927
Iter:9, Test Acc:0.9777,Train Acc:0.992782
Iter:10, Test Acc:0.9767,Train Acc:0.994673
Iter:11, Test Acc:0.9808,Train Acc:0.994345
Iter:12, Test Acc:0.979,Train Acc:0.9956
Iter:13, Test Acc:0.9772,Train Acc:0.994673
Iter:14, Test Acc:0.9814,Train Acc:0.996364
Iter:15, Test Acc:0.9784,Train Acc:0.995473
Iter:16, Test Acc:0.9811,Train Acc:0.997109
Iter:17, Test Acc:0.9803,Train Acc:0.996055
Iter:18, Test Acc:0.9751,Train Acc:0.993636
Iter:19, Test Acc:0.9807,Train Acc:0.996727
Iter:20, Test Acc:0.9821,Train Acc:0.996382
Iter:21, Test Acc:0.982,Train Acc:0.998182
Iter:22, Test Acc:0.9796,Train Acc:0.994964
Iter:23, Test Acc:0.9795,Train Acc:0.997545
Iter:24, Test Acc:0.9799,Train Acc:0.997636
Iter:25, Test Acc:0.9822,Train Acc:0.997527
Iter:26, Test Acc:0.9823,Train Acc:0.997673
Iter:27, Test Acc:0.9801,Train Acc:0.997018
Iter:28, Test Acc:0.9804,Train Acc:0.996527
Iter:29, Test Acc:0.981,Train Acc:0.997436
Iter:30, Test Acc:0.9809,Train Acc:0.998
Iter:31, Test Acc:0.9809,Train Acc:0.997327
Iter:32, Test Acc:0.9831,Train Acc:0.998036
Iter:33, Test Acc:0.9813,Train Acc:0.997836
Iter:34, Test Acc:0.983,Train Acc:0.999091
Iter:35, Test Acc:0.9814,Train Acc:0.998418
Iter:36, Test Acc:0.9805,Train Acc:0.997945
Iter:37, Test Acc:0.9813,Train Acc:0.997473
Iter:38, Test Acc:0.9825,Train Acc:0.998582
Iter:39, Test Acc:0.9804,Train Acc:0.998236
Iter:40, Test Acc:0.9814,Train Acc:0.997709
Iter:41, Test Acc:0.9846,Train Acc:0.999218
Iter:42, Test Acc:0.9817,Train Acc:0.998927
Iter:43, Test Acc:0.9801,Train Acc:0.998255
Iter:44, Test Acc:0.9811,Train Acc:0.998182
Iter:45, Test Acc:0.9807,Train Acc:0.998455
Iter:46, Test Acc:0.9805,Train Acc:0.998727
Iter:47, Test Acc:0.9802,Train Acc:0.998818
Iter:48, Test Acc:0.9823,Train Acc:0.999273
Iter:49, Test Acc:0.9817,Train Acc:0.999018
